UtilityCaptive,State,Sector,EnergySource,EnergySourceType,YearValue,Generation_GWh,PLF_Percent
UTILITY,WEST BENGAL,UTILITY-RE,WIND,RENEWABLE,2014,0,0
UTILITY,WEST BENGAL,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2014,1444.3,0
UTILITY,WEST BENGAL,UTILITY-RE,WASTE,RENEWABLE,2014,0,0
UTILITY,WEST BENGAL,UTILITY-RE,SOLAR,RENEWABLE,2014,5.694,0
CAPTIVE,WEST BENGAL,CAPTIVE,SOLAR,RENEWABLE,2014,0,0
CAPTIVE,WEST BENGAL,CAPTIVE,WIND,RENEWABLE,2014,0,0
UTILITY,WEST BENGAL,UTILITY-RE,SMALL HYDRO,RENEWABLE,2015,157.573,0
UTILITY,WEST BENGAL,UTILITY-RE,WIND,RENEWABLE,2015,0,0
UTILITY,WEST BENGAL,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2015,1444.3,0
UTILITY,WEST BENGAL,UTILITY-RE,WASTE,RENEWABLE,2015,0,0
UTILITY,WEST BENGAL,UTILITY-RE,SOLAR,RENEWABLE,2015,5.823,0
CAPTIVE,WEST BENGAL,CAPTIVE,SOLAR,RENEWABLE,2015,0,0
CAPTIVE,WEST BENGAL,CAPTIVE,WIND,RENEWABLE,2015,0.02,0
UTILITY,WEST BENGAL,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2016,1444.3,0
UTILITY,WEST BENGAL,UTILITY-RE,SMALL HYDRO,RENEWABLE,2016,157.573,0
UTILITY,WEST BENGAL,UTILITY-RE,SOLAR,RENEWABLE,2016,6.275,0
UTILITY,WEST BENGAL,UTILITY-RE,WASTE,RENEWABLE,2016,0,0
UTILITY,WEST BENGAL,UTILITY-RE,WIND,RENEWABLE,2016,0,0
CAPTIVE,WEST BENGAL,CAPTIVE,SOLAR,RENEWABLE,2016,0,0
CAPTIVE,WEST BENGAL,CAPTIVE,WIND,RENEWABLE,2016,0.02,0
UTILITY,JHARKHAND,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2017,0,0
UTILITY,JHARKHAND,UTILITY-RE,SMALL HYDRO,RENEWABLE,2017,14.08,0
UTILITY,JHARKHAND,UTILITY-RE,SOLAR,RENEWABLE,2017,38.47,0
UTILITY,JHARKHAND,UTILITY-RE,RENEWABLES,RENEWABLE,2017,0,0
UTILITY,JHARKHAND,UTILITY-RE,WIND,RENEWABLE,2017,0,0
CAPTIVE,JHARKHAND,CAPTIVE,SOLAR,RENEWABLE,2017,0,0
CAPTIVE,JHARKHAND,CAPTIVE,WIND,RENEWABLE,2017,0,0
